timestamp,gpu_power
.001423285,100.47
.066503199,100.45
.128995743,100.44
.192625051,100.41
.254739187,100.40
.315638902,100.46
.378166328,100.45
.438819072,100.32
.508307308,98.20
.575552992,96.49
.642337623,94.79
.709251888,92.68
.780333235,90.82
.847559118,89.34
.914310520,86.91
.981529743,85.26
1.048428465,83.02
1.115519106,81.31
1.182303707,80.04
1.249338253,77.34
1.316422594,75.48
1.386037160,74.15
1.455367300,71.83
1.525218069,71.55
1.594868930,71.33
1.664635885,71.10
1.738775478,70.97
1.809573229,70.75
1.906244488,70.54
1.984879483,70.21
2.135112591,72.82
2.242679982,74.50
2.311606797,77.50
2.411862562,80.38
2.503711338,83.11
2.577279654,85.31
2.666559907,87.78
2.750284997,90.83
2.846452100,93.21
2.916244943,96.24
3.031986796,99.27
3.094872419,100.53
3.155859875,100.67
3.219915804,100.72
3.282639324,100.72
3.344041071,100.73
3.405242398,100.74
3.469207770,100.71
3.531525882,100.77
3.593079948,106.03
3.661326302,112.51
3.727740258,122.06
3.799617287,129.56
3.865533265,137.04
3.930667140,137.82
3.994215948,137.70
4.072986087,136.96
4.170243395,136.96
4.267311528,137.75
4.542946317,136.98
