timestamp,gpu_power
.001872513,27.79
.098370408,43.00
.172624094,46.65
.244136663,46.65
.316544756,47.52
.407349738,71.58
.479946887,69.36
.556439326,69.36
.626970829,69.08
.707550489,72.29
.780985625,65.75
.851606246,65.75
.924639655,71.82
1.002714503,67.34
1.080703829,67.68
1.152304523,67.68
1.226341601,66.66
1.304920247,66.51
1.376604478,71.96
1.460683293,71.96
1.532195871,70.86
1.608891282,70.28
1.689657373,68.88
1.760742417,66.47
1.856346760,66.47
1.931468330,69.79
2.004436127,61.83
2.074833917,61.83
2.150521602,37.62
2.232958878,38.01
2.311612343,38.59
2.381805800,38.59
2.452002502,38.49
2.534787683,38.59
