timestamp,gpu_power
.008,2794
.072,2793
.141,2794
.210,2794
.279,2794
.347,2794
.417,2794
.486,2794
.555,2794
.624,2794
.692,2794
.759,2794
.828,2794
.896,2794
.966,2794
1.033,2794
1.101,2794
1.170,2794
1.240,2794
1.308,2794
1.376,2794
1.443,2794
1.513,2794
1.580,2794
1.648,2794
1.716,2794
1.784,2794
1.852,2794
1.920,2794
1.987,2794
2.060,2794
2.125,2794
2.193,2794
2.262,2794
2.330,2794
2.399,2794
2.468,2794
2.536,2794
2.608,2794
2.675,2794
2.742,2794
2.809,2794
2.877,2794
2.945,2794
3.013,2794
3.081,2794
3.153,2794
3.221,2794
3.290,2794
3.358,2794
3.427,2794
3.495,2794
3.563,2794
3.630,2794
3.701,2794
3.768,2794
3.837,2794
3.907,2794
3.976,2794
4.045,2794
4.112,2794
4.182,2794
4.253,2794
4.320,2794
4.388,2794
4.456,2794
4.524,2794
4.591,2794
4.659,2794
4.732,2794
4.806,3193
4.874,3193
4.942,3193
5.006,3193
5.070,3193
5.138,3193
5.206,3193
5.273,3193
5.343,3193
5.408,3193
5.473,3193
5.537,3193
5.603,3193
5.673,3193
5.740,3193
5.809,3193
5.878,3193
5.946,4788
6.010,7578
6.074,10765
6.138,13556
6.201,15955
6.269,16759
6.338,15175
6.411,13178
6.475,11980
6.540,10782
6.604,9584
6.672,8782
