timestamp,total_power
.015,11240
.030,11340
.187,11739
.254,11840
.322,11339
.392,11440
.461,11440
.528,11738
.594,11638
.667,11739
.732,11739
.802,11739
.872,11740
.940,11740
1.009,11738
1.208,11740
1.278,11740
1.343,11740
1.415,11740
1.483,11740
1.552,11740
1.618,11639
1.686,11639
1.752,11740
1.821,11638
1.888,11638
1.955,11739
2.189,11639
2.259,11740
2.327,11740
2.397,11740
2.467,11740
2.535,11740
2.603,11740
2.672,11740
2.737,11639
2.805,11639
2.874,11639
2.938,11740
3.010,11740
3.217,11639
3.286,11740
3.353,11740
3.420,11639
3.494,11740
3.561,11740
3.632,11639
3.697,11740
3.764,11639
3.831,11740
3.897,11740
3.971,11638
4.153,11637
4.224,11637
4.290,11638
4.358,11638
4.424,11739
4.491,11738
4.558,11637
4.625,11739
4.694,11739
4.764,12137
4.832,12536
4.901,12138
4.971,12138
5.142,12641
5.219,12242
5.287,12843
5.354,12944
5.421,13045
5.489,12945
5.560,12445
5.629,12345
5.697,12344
5.766,12243
5.833,12244
5.899,12143
5.974,12043
6.146,12242
6.251,12343
6.321,12444
6.396,13343
6.481,16848
6.549,21039
6.626,21450
6.697,20055
6.762,18953
6.834,17852
6.899,16741
6.968,15741
