condition,mean_pue,std_pue
QC_32_7,4.161743219445059,0.0
QC_128_10,3.401350714793832,0.0
QC_32_9,4.064609694317001,0.0
QC_16_6,4.341265603287944,0.0
QC_16_2,4.263191035789749,0.0
QC_32_5,4.254883064341903,0.0
QC_64_8,3.7296350505411455,0.0
QC_16_9,4.2327326509603616,0.0
QC_64_4,3.8084047425735124,0.0
QC_32_10,4.23585718928198,0.0
QC_256_9,2.558007357520073,0.0
QC_64_6,3.730035549358318,0.0
QC_32_4,4.0441081275531925,0.0
QC_16_4,4.173915906913911,0.0
QC_32_1,4.19947217205252,0.0
QC_64_5,3.648878349997009,0.0
QC_16_7,4.308014958049668,0.0
QC_256_3,2.5820384883733136,0.0
QC_128_2,3.227634793010835,0.0
QC_32_6,4.102524992320401,0.0
QC_32_3,4.070071829176126,0.0
QC_128_6,3.140166375636519,0.0
QC_256_8,2.580648887429538,0.0
QC_256_6,2.589627117718761,0.0
QC_16_1,4.485121113923767,0.0
QC_256_1,2.6171757491556127,0.0
QC_32_8,3.9611646145139923,0.0
QC_128_9,3.233369112051317,0.0
QC_128_4,3.1090464887226785,0.0
QC_128_7,3.1239304807164014,0.0
QC_16_8,4.38752073823445,0.0
QC_64_2,3.90038883514917,0.0
QC_32_2,4.021827440431797,0.0
QC_64_1,3.726674237567502,0.0
QC_128_1,3.1368372832020484,0.0
QC_64_9,3.594150669605829,0.0
QC_256_7,2.5385792781458285,0.0
QC_16_10,4.1481365918538335,0.0
QC_256_10,2.5742280718683244,0.0
QC_64_10,3.6504173501536266,0.0
QC_16_5,4.190726770404855,0.0
QC_256_4,2.5341137408001764,0.0
QC_128_5,3.067815330237695,0.0
QC_16_3,4.364741340943202,0.0
QC_64_3,3.6345685666194933,0.0
QC_256_5,2.52595448491394,0.0
QC_128_8,3.2454926820451404,0.0
QC_256_2,2.5705703496422827,0.0
QC_128_3,3.1227714803962017,0.0
QC_64_7,3.64995327122571,0.0
