timestamp,gpu_power
.022,1081
.043,1081
.069,1543
.142,3391
.217,5543
.285,7382
.380,8912
.448,9979
.519,11049
.592,11812
.666,12568
.739,13023
.811,13783
.882,14089
.954,14390
1.026,14690
1.098,14690
1.169,15149
1.239,15455
1.313,15761
1.384,15754
1.458,15907
1.530,16060
1.603,15907
1.680,16213
1.755,16359
1.823,16519
1.894,16519
1.968,16519
2.040,16519
2.115,16519
2.185,16512
2.258,16512
2.329,16359
2.401,16512
2.474,16512
2.546,16359
2.618,16213
2.692,16366
2.763,16519
2.834,16366
2.906,16512
2.985,16512
3.056,16512
3.133,16665
3.203,16818
3.276,16672
3.349,16672
3.421,16672
3.494,16366
3.572,16359
3.644,16359
3.717,16512
3.791,16512
3.867,16512
3.940,16366
4.012,16672
4.089,16519
4.163,16366
4.238,16665
4.311,16512
4.384,16665
4.456,16512
4.529,16512
4.603,16359
4.676,16512
4.748,16665
4.821,16512
4.893,16512
4.964,16665
5.036,16818
5.118,16665
5.206,16665
5.334,16512
5.406,16359
5.477,16366
5.553,14243
5.628,12114
5.703,10282
5.777,8912
5.849,7689
5.922,6615
5.995,5697
6.070,4929
6.145,4316
6.221,3854
6.295,3547
