timestamp,gpu_power
.021,617
.042,617
.075,772
.159,617
.231,617
.302,617
.375,617
.452,617
.525,617
.595,617
.670,617
.743,617
.817,617
.890,617
.964,617
1.037,617
1.110,617
1.184,617
1.267,617
1.348,617
1.422,617
1.497,617
1.570,617
1.644,617
1.724,617
1.800,618
1.873,618
1.947,617
2.019,617
2.098,617
2.173,617
2.244,617
2.319,617
2.400,617
2.471,618
2.543,617
2.624,617
2.696,617
2.768,617
2.840,617
2.911,617
2.986,617
3.064,617
3.135,617
3.217,617
3.293,617
3.367,617
3.446,617
3.523,617
3.607,617
3.685,617
3.766,617
3.840,617
3.917,617
3.985,617
4.059,617
4.136,617
4.210,617
4.283,617
4.357,617
4.429,617
4.500,617
4.576,617
4.647,617
4.720,617
4.796,617
4.870,617
4.944,617
5.018,617
5.097,617
5.174,617
5.244,617
5.324,618
5.399,618
5.478,618
5.563,617
5.635,617
5.710,617
5.782,617
5.854,617
5.939,617
6.013,618
6.088,618
6.161,618
6.234,617
6.315,617
6.393,617
6.466,617
6.555,617
6.623,772
6.700,1081
6.781,1081
6.853,926
6.929,1851
7.002,3852
7.075,6002
7.148,7686
7.224,9066
7.301,10133
7.373,11045
7.452,11812
7.525,12722
7.598,13176
7.672,13936
7.745,14089
7.827,14390
7.904,14696
7.977,14849
8.053,15155
8.124,15461
8.198,15608
8.272,15761
8.344,15761
8.421,15907
8.498,15907
8.569,16366
8.645,16213
8.721,16366
8.793,16366
8.868,16366
8.943,16519
9.017,16366
9.092,16512
9.169,16359
9.240,16359
9.313,16366
9.395,16366
9.469,16366
9.546,16213
9.613,15002
9.688,12875
9.761,11049
9.835,9373
9.909,8147
9.987,6923
