timestamp,total_power
.060,11702
.121,11394
.190,11547
.262,11855
.327,12511
.391,13359
.455,13667
.517,13666
.578,13318
.639,13473
.699,13165
.758,13127
.828,12818
.900,12973
.971,13127
1.043,13127
1.116,13127
1.189,13242
1.269,13242
1.351,12778
1.426,12624
1.492,12472
1.567,12317
1.641,12317
1.713,12471
1.787,12471
1.863,12624
1.932,12932
2.018,12777
2.087,12317
2.158,12162
2.226,12009
2.303,12164
2.377,12317
2.452,12624
2.525,12624
2.604,12972
2.678,13780
2.763,13319
2.826,13012
2.901,12819
2.975,12972
3.050,12818
3.123,12973
3.195,12973
3.266,13127
3.339,13087
3.411,12933
3.494,12932
3.557,12624
3.629,12472
3.701,12626
3.778,12623
3.849,12778
3.923,12778
3.997,12932
4.070,13087
4.153,12777
4.220,12470
4.289,12472
4.364,12472
4.440,12471
4.514,12663
4.587,12663
4.666,12778
4.736,12933
4.812,12625
4.886,12317
4.963,12164
5.036,12164
5.108,12359
5.180,12204
5.256,12164
5.328,12318
5.402,12316
5.476,12316
5.556,12164
5.623,12164
5.697,12009
5.772,11856
5.844,12009
5.917,12164
5.991,12164
6.081,12318
6.149,13010
6.229,13820
6.310,13204
6.372,12549
6.444,13706
6.516,16935
6.603,19961
6.672,22482
6.749,24235
6.819,25827
6.891,26931
6.962,27730
7.035,28526
7.116,26780
7.189,24842
7.264,23244
7.342,21795
7.420,20532
