timestamp,total_power
.062,12233
.123,12079
1.064,12039
1.126,12233
1.188,12927
1.254,13430
1.322,13236
1.383,13082
1.448,12888
1.513,12581
1.580,12272
1.644,12078
1.709,11926
1.777,11771
1.844,11926
2.066,11926
2.129,12233
2.189,12541
2.252,12695
2.322,12693
2.391,12695
2.455,12387
2.519,12541
2.585,12848
2.653,13001
2.720,13309
2.795,13615
2.856,13463
3.069,13002
3.136,12694
3.199,12694
3.264,12694
3.326,13002
3.393,13309
3.459,13309
3.528,13463
3.594,13615
3.659,14505
3.723,14157
3.789,13696
3.857,13696
3.924,13390
4.067,13388
4.134,13503
4.194,13503
4.255,13657
4.319,13657
4.383,13503
4.450,13154
4.520,12847
4.583,13001
4.647,13154
4.714,13461
4.781,13768
4.846,13923
5.071,13615
5.140,13463
5.205,13309
5.271,13154
5.335,13155
5.398,13155
5.461,13309
5.522,13309
5.585,13154
5.644,13309
5.709,13001
5.779,12346
5.842,12040
6.070,12039
6.136,12193
6.204,12346
6.269,12501
6.338,12347
6.412,12347
6.478,12347
6.541,12347
6.609,12192
6.672,12193
6.738,12347
6.805,12347
6.869,12193
7.066,12193
7.130,12499
7.201,12848
7.273,12579
7.338,12734
7.404,12733
7.469,12888
7.532,12888
7.593,14695
7.659,17413
7.721,20283
7.786,22380
7.851,23986
8.070,25084
8.134,26533
8.201,27785
8.265,28730
8.331,29678
8.398,30437
8.462,31083
8.527,31725
8.594,32030
8.659,32063
8.730,32214
8.795,32516
8.860,32671
8.924,29648
