QC,GPU,GWP (mg CO2 eq),max_latency_ns,max_latency_ms
16,2080Ti,8.073504678866973,5507944.259259259,5.50794425925926
16,A100_v1,12.287108118593952,4656213.384615385,4.656213384615384
16,A100_v4,9.099837015579482,1826891.1698113207,1.8268911698113208
16,A40,23.12658140790787,4175189.59375,4.17518959375
16,H100,13.235040278214981,1494683.0476190476,1.4946830476190476
16,L40S,7.935949782051109,1451538.6274509805,1.4515386274509803
16,Orin,1.3112952776955276,21235149.589041095,21.235149589041093
16,QRTX6000,7.34521603277303,5387781.952380952,5.387781952380952
16,QRTX8000,7.940882532755107,5904792.0,5.904792
16,T4,5.7485045175066825,13627781.333333334,13.627781333333333
16,Xavier,0.6209992541235649,39173063.31428572,39.17306331428571
32,2080Ti,8.452555747847462,5536209.85,5.5362098500000005
32,A100_v1,12.48864985200114,4676102.25,4.67610225
32,A100_v4,9.315802132871879,1916784.025,1.916784025
32,A40,23.607246300458968,4512962.45,4.51296245
32,H100,13.297614037576631,1688969.25,1.68896925
32,L40S,8.309221984098691,1454062.5333333334,1.4540625333333332
32,Orin,1.3525591917048316,20933428.70588235,20.933428705882353
32,QRTX6000,7.813136047362202,5375478.541666667,5.375478541666666
32,QRTX8000,8.163280713625374,5940065.65,5.94006565
32,T4,6.0121520445545436,13680599.2,13.6805992
32,Xavier,0.7080084073244498,36839826.6097561,36.839826609756095
64,2080Ti,8.938299696052239,6118643.15,6.11864315
64,A100_v1,13.192419218476665,4744568.3,4.7445683
64,A100_v4,9.649934895892548,2009145.825,2.009145825
64,A40,24.419327339015503,4529573.3,4.5295733
64,H100,13.962626840346868,1690048.55,1.6900485499999998
64,L40S,8.652946850908267,1560025.2,1.5600252
64,Orin,1.461522133585015,21411629.837837838,21.41162983783784
64,QRTX6000,8.400193723054244,5900387.5,5.9003875
64,QRTX8000,8.61070938358061,6311085.6,6.3110856
64,T4,6.43726182479849,13669339.9,13.6693399
64,Xavier,0.9959150993561977,36774404.125,36.774404125
128,2080Ti,10.330086354097878,6151252.45,6.151252449999999
128,A100_v1,14.201493540055568,4711047.7,4.7110477
128,A100_v4,10.37016396134747,2013286.0,2.013286
128,A40,25.518830246386365,4442181.7,4.4421817
128,H100,14.249120954431328,1791593.35,1.79159335
128,L40S,9.083650262014693,1556886.1333333333,1.5568861333333333
128,Orin,1.6779832985689662,22694927.05882353,22.69492705882353
128,QRTX6000,9.885612283306916,5760106.55,5.760106550000001
128,QRTX8000,9.865249609933018,6216998.5,6.2169985
128,T4,7.187388481804348,13655298.55,13.655298550000001
128,Xavier,1.5686884928196665,39334191.21875,39.33419121875
256,2080Ti,13.13953128378669,6191024.15,6.19102415
256,A100_v1,16.17442285390489,4744196.15,4.74419615
256,A100_v4,11.67116135378951,2008387.3333333333,2.0083873333333333
256,A40,29.5287703749817,4444876.25,4.44487625
256,H100,15.288041410057446,1889885.45,1.88988545
256,L40S,9.757357671065876,1559261.3,1.5592613
256,Orin,2.2170416686268504,21317584.76190476,21.31758476190476
256,QRTX6000,12.854318788411652,5652807.95,5.65280795
256,QRTX8000,12.15356449660494,6336855.0,6.336855
256,T4,8.798124546282175,13630583.5,13.6305835
256,Xavier,2.614950804052928,43501139.52542373,43.501139525423724
