Run ID (log path),QC (min query count),Max latency (ns),QPS w/ loadgen overhead,QPS w/o loadgen overhead
A100_v1.1_logs,256,4718531,342.72,348.00
A100_v1.1_logs,256,4683145,348.36,353.58
A100_v1.1_logs,128,4473700,310.36,316.43
A100_v1.1_logs,256,4742988,334.50,341.15
A100_v1.1_logs,256,4519026,340.99,346.86
A100_v1.1_logs,128,4586312,301.06,304.29
A100_v1.1_logs,256,5040447,332.90,338.77
A100_v1.1_logs,32,4414128,238.66,240.33
A100_v1.1_logs,64,4621740,248.57,250.23
A100_v1.1_logs,64,4763666,263.28,267.43
A100_v1.1_logs,16,4434617,238.36,239.50
A100_v1.1_logs,64,4819701,267.83,268.89
A100_v1.1_logs,256,4443263,338.03,341.13
A100_v1.1_logs,256,4889963,329.73,334.64
A100_v1.1_logs,64,4487036,280.89,284.44
A100_v1.1_logs,256,4747185,346.88,352.05
A100_v1.1_logs,32,4497236,236.45,237.85
A100_v1.1_logs,16,4439676,237.82,239.01
A100_v1.1_logs,16,4870057,236.14,237.50
A100_v1.1_logs,64,4724212,276.21,278.39
A100_v1.1_logs,128,4779767,307.96,313.18
A100_v1.1_logs,256,4896136,341.57,347.84
A100_v1.1_logs,32,4856732,232.64,236.66
A100_v1.1_logs,16,5005320,235.56,236.79
A100_v1.1_logs,64,4934027,251.04,253.83
A100_v1.1_logs,64,4582085,262.28,265.24
A100_v1.1_logs,128,4596421,318.32,321.72
A100_v1.1_logs,128,4471037,310.02,312.55
A100_v1.1_logs,128,4626809,288.64,295.94
A100_v1.1_logs,128,5252014,311.26,317.08
A100_v1.1_logs,128,4718171,293.11,295.81
A100_v1.1_logs,128,4516331,291.72,297.44
A100_v1.1_logs,128,4498938,296.75,302.17
A100_v1.1_logs,64,4997365,276.90,283.24
A100_v1.1_logs,32,4710817,238.29,239.03
A100_v1.1_logs,128,4716177,302.58,306.42
A100_v1.1_logs,32,4861720,236.28,237.27
A100_v1.1_logs,32,4423727,239.37,240.19
A100_v1.1_logs,16,4423636,237.88,239.09
A100_v1.1_logs,32,4426181,236.91,238.34
A100_v1.1_logs,16,4822096,233.45,234.87
A100_v1.1_logs,64,4792751,267.86,270.44
A100_v1.1_logs,16,4648880,235.03,236.47
A100_v1.1_logs,256,4824241,329.79,334.48
A100_v1.1_logs,256,4596772,349.23,352.66
A100_v1.1_logs,32,4521481,235.46,239.17
A100_v1.1_logs,64,5093656,275.56,280.78
A100_v1.1_logs,16,4704545,232.22,233.78
A100_v1.1_logs,32,4509899,237.25,238.32
A100_v1.1_logs,128,4514067,304.23,308.49
A100_v1.1_logs,64,4483108,276.20,280.51
A100_v1.1_logs,16,4618934,236.73,238.00
A100_v1.1_logs,64,4594548,254.85,259.90
A100_v1.1_logs,256,5078388,332.49,339.10
A100_v1.1_logs,16,4443735,239.14,240.28
A100_v1.1_logs,64,4482948,279.14,284.24
A100_v1.1_logs,64,4599167,263.44,266.76
A100_v1.1_logs,128,4682593,295.54,299.93
A100_v1.1_logs,256,4494601,336.26,342.34
A100_v1.1_logs,32,4845560,244.88,246.91
A100_v1.1_logs,256,4747877,345.37,355.38
A100_v1.1_logs,16,4876238,237.28,238.54
A100_v1.1_logs,16,4428165,238.97,240.10
A100_v1.1_logs,16,4865958,236.35,238.03
A100_v1.1_logs,256,4651065,334.90,342.56
A100_v1.1_logs,64,4830593,240.02,243.44
A100_v1.1_logs,64,4547289,279.04,282.99
A100_v1.1_logs,32,4465647,238.17,239.25
A100_v1.1_logs,128,4653740,298.55,303.23
A100_v1.1_logs,128,4924689,296.27,298.79
A100_v1.1_logs,16,4904351,235.16,236.51
A100_v1.1_logs,16,4493099,237.79,239.12
A100_v1.1_logs,64,4689167,243.28,244.87
A100_v1.1_logs,64,4609717,246.26,249.41
A100_v1.1_logs,32,4514878,235.24,238.00
A100_v1.1_logs,32,4948063,234.84,237.14
A100_v1.1_logs,128,5064922,310.60,315.06
A100_v1.1_logs,16,4487837,237.24,238.59
A100_v1.1_logs,128,4731135,301.16,304.74
A100_v1.1_logs,32,4695478,235.01,236.41
A100_v1.1_logs,128,4847003,318.93,322.74
A100_v1.1_logs,256,5051537,338.77,344.56
A100_v1.1_logs,16,4796388,235.73,237.05
A100_v1.1_logs,32,4520920,237.89,238.74
A100_v1.1_logs,256,4638701,331.49,335.10
A100_v1.1_logs,256,4491324,346.97,352.63
A100_v1.1_logs,256,4966207,340.09,345.79
A100_v1.1_logs,32,4602874,238.36,239.09
A100_v1.1_logs,128,4842465,302.25,305.12
A100_v1.1_logs,64,5108565,250.36,253.39
A100_v1.1_logs,16,4474072,238.73,239.80
A100_v1.1_logs,16,4801087,234.85,236.27
A100_v1.1_logs,64,5130025,238.71,240.69
A100_v1.1_logs,16,4730714,237.16,238.46
A100_v1.1_logs,256,4662526,343.16,348.66
