GPU;QC;latency(ms)
NVIDIA-A100;256;4.225234
NVIDIA-A100;128;4.280560
NVIDIA-A100;64;4.378654
NVIDIA-A100;32;4.410004
NVIDIA-A100;16;4.483321
NVIDIA-AGX-Xavier;256;29.285152
NVIDIA-AGX-Xavier;128;30.547488
NVIDIA-AGX-Xavier;64;23.097056
NVIDIA-AGX-Xavier;32;25.053760
NVIDIA-AGX-Xavier;16;31.060352
NVIDIA-A40;256;3.706615
NVIDIA-A40;128;3.581731
NVIDIA-A40;64;3.549882
NVIDIA-A40;32;3.581731
NVIDIA-A40;16;3.581731
NVIDIA-Tesla-T4;256;9.883937
NVIDIA-Tesla-T4;128;10.543303
NVIDIA-Tesla-T4;64;12.700335
NVIDIA-Tesla-T4;32;13.539559
NVIDIA-Tesla-T4;16;13.624873
NVIDIA-RTX-2080-Ti;16;5.186159
NVIDIA-RTX-2080-Ti;32;5.151560
NVIDIA-RTX-2080-Ti;64;5.154538
NVIDIA-RTX-2080-Ti;128;5.133798
NVIDIA-RTX-2080-Ti;256;5.055908
NVIDIA-A5000;16;3.624307
NVIDIA-A5000;32;3.511795
NVIDIA-A5000;64;3.503073
NVIDIA-A5000;128;3.481175
NVIDIA-A5000;256;3.612703
NVIDIA-Quadro-RTX-8000;16;5.964493
NVIDIA-Quadro-RTX-8000;32;5.758241
NVIDIA-Quadro-RTX-8000;64;5.722228
NVIDIA-Quadro-RTX-8000;128;5.724876
NVIDIA-Quadro-RTX-8000;256;5.583930
NVIDIA-Orin;256;7.320023
NVIDIA-Orin;128;7.714336
NVIDIA-Orin;64;8.959936
NVIDIA-Orin;32;10.893280
NVIDIA-Orin;16;21.782624
