Hardware,Impact Environnemental,FU
NVIDIA-AGX-Orin,35.8955,Edge
NVIDIA-AGX-Xavier,12.847420289346584,Edge
NVIDIA-AGX-Xavier,21.46,Edge
NVIDIA-AGX-Orin,25.5397,Edge
NVIDIA-RTX-2080Ti,30.1992,Gaming
NVIDIA-RTX-2080Ti,11.645242566192358,Gaming
NVIDIA-GTX-1080Ti,8.985207879218121,Gaming
NVIDIA-GTX-1080Ti,18.3287,Gaming
NVIDIA-Tesla-T4,24.726,Desktop
NVIDIA-Tesla-T4,11.314983021982538,Desktop
NVIDIA-Tesla-M2075,6.624483791723314,Desktop
NVIDIA-Quadro-RTX-8000,43.5192,Desktop
NVIDIA-Quadro-RTX-8000,24.96524256619236,Desktop
NVIDIA-Quadro-RTX-6000,16.325242566192358,Desktop
NVIDIA-Quadro-RTX-6000,34.8792,Desktop
NVIDIA-Quadro-P6000,13.951379685770764,Desktop
NVIDIA-A5000,32.5668,Desktop
NVIDIA-A5000,18.27352,Desktop
NVIDIA-Quadro-P6000,23.2908,Desktop
NVIDIA-L40,33.64383,Large-scale
NVIDIA-A40,41.2068,Large-scale
NVIDIA-Tesla-H100,44.27218,Large-scale
NVIDIA-L40S,33.64383,Large-scale
NVIDIA-A40,26.913520000000002,Large-scale
NVIDIA-Tesla-P100,10.684360102590585,Large-scale
NVIDIA-Tesla-P100,22.78,Large-scale
NVIDIA-A100,44.818200000000004,Large-scale
NVIDIA-A100,20.46993300846043,Large-scale
NVIDIA-Tesla-V100,17.26699295947848,Large-scale
NVIDIA-Tesla-V100,37.322,Large-scale
NVIDIA-A100,27.6787,Large-scale
