timestamp,gpu_power
.002278657,100.74
.093962265,100.74
.163272748,111.19
.250916236,121.66
.316380678,131.71
.382733031,131.71
.451480446,141.00
.518241970,151.78
.586277292,151.78
.654906397,162.45
.735307610,172.69
.805756239,172.69
.872636453,182.48
.940167477,185.71
1.006207750,185.71
1.072412207,185.07
1.136512984,176.22
1.202492314,165.88
1.282788441,165.88
1.357068383,155.49
1.421671834,145.51
1.486481789,145.51
1.552111438,136.27
1.616198390,125.55
1.698276410,114.96
1.799427010,104.75
