timestamp,gpu_power
.007,2794
.065,2794
.129,2794
.195,2794
.260,2794
.325,2794
.391,2794
.459,2794
.524,2794
.588,2794
.653,2794
.718,2794
.783,2794
.847,2794
.911,2794
.979,2794
1.044,2794
1.109,2794
1.174,2794
1.239,2794
1.303,2794
1.368,2794
1.432,2794
1.500,2794
1.563,2794
1.629,2794
1.693,2794
1.758,2794
1.823,2794
1.887,2794
1.956,2794
2.022,2794
2.086,2794
2.155,2794
2.224,2794
2.289,2794
2.353,2794
2.417,2794
2.487,2794
2.553,2794
2.620,2794
2.683,2794
2.748,2794
2.812,2794
2.877,2794
2.941,2794
3.006,2794
3.077,2794
3.142,2794
3.206,2794
3.271,2794
3.336,2794
3.401,2794
3.465,2794
3.529,2794
3.595,2794
3.665,2794
3.729,2794
3.794,2794
3.864,2794
3.928,2794
3.992,2794
4.062,2794
4.128,2794
4.199,2794
4.263,2794
4.327,2794
4.392,2794
4.456,2794
4.521,2794
4.585,2794
4.654,2794
4.719,2794
4.798,3193
4.871,3193
4.946,3193
5.019,3193
5.087,3193
5.156,3193
5.227,3193
5.295,3193
5.368,3193
5.436,3193
5.504,3193
5.573,3193
5.642,3193
5.710,3193
5.778,3193
5.844,3193
5.913,3592
5.984,5187
6.051,8775
6.116,11966
6.184,14758
6.248,16752
6.314,18747
6.378,20741
6.441,22337
6.505,23533
6.568,24740
6.632,25937
6.697,26336
6.760,26735
6.826,27533
6.891,28331
6.955,28730
7.018,29129
7.081,29528
7.146,29928
7.210,30327
7.276,29141
7.346,25569
7.413,22772
7.481,19976
7.548,17578
7.619,15575
7.689,13977
