timestamp,total_power
.016,12238
.030,12137
.091,12238
.167,12636
.238,12636
.305,12636
.374,12636
.446,12636
.519,12535
.589,12035
.656,12136
.879,11637
.943,12136
1.012,11738
1.080,11637
1.149,12137
1.218,12036
1.286,12137
1.353,12137
1.425,12036
1.492,12137
1.562,12036
1.632,12434
1.861,11637
1.933,12036
2.001,12036
2.069,12036
2.137,12036
2.209,12036
2.276,12137
2.342,12036
2.410,12036
2.481,12137
2.552,12036
2.618,12137
2.781,12036
2.881,12434
2.947,12036
3.019,12036
3.083,12036
3.152,12137
3.220,12036
3.288,12036
3.356,12036
3.423,11637
3.492,11738
3.563,11637
3.632,11637
3.801,11637
3.870,11637
3.936,11738
4.002,11637
4.074,11637
4.142,11637
4.210,11637
4.279,11637
4.344,11637
4.410,11536
4.478,11637
4.547,11637
4.624,11536
4.839,11637
4.916,11637
4.983,11637
5.061,11637
5.140,11637
5.207,11940
5.275,12242
5.351,12242
5.421,12444
5.487,12444
5.563,12545
5.635,12444
5.845,12242
5.915,12242
5.982,12242
6.050,12041
6.118,12041
6.186,12041
6.262,12641
6.329,12742
6.399,12742
6.468,13242
6.536,14738
6.600,17641
6.668,18048
6.878,15837
6.944,14838
7.012,14237
7.078,13737
7.153,14034
