timestamp,gpu_power
.020,926
.043,1081
.071,1543
.143,2622
.215,4621
.287,6461
.360,8147
.432,9216
.507,10282
.579,11352
.651,12114
.725,12722
.797,13329
.870,13783
.946,13936
1.014,14237
1.086,14543
1.159,14696
1.227,15002
1.299,15302
1.371,15608
1.442,15761
1.513,15754
1.586,15907
1.658,16060
1.731,16206
1.802,16359
1.877,16512
1.954,16519
2.025,16366
2.101,16366
2.173,16519
2.245,16512
2.317,16512
2.388,16359
2.463,16359
2.532,16359
2.604,16359
2.676,16366
2.750,16213
2.829,13789
2.905,11659
2.979,9979
3.053,8451
3.132,7228
3.201,6310
3.278,5389
3.352,4777
3.423,4162
3.496,3701
3.569,3393
3.644,3084
