timestamp,gpu_power
.018,1544
.044,1544
.066,1698
.143,1698
.216,1698
.288,1543
.362,1543
.434,1543
.510,1543
.590,1543
.660,1543
.738,1544
.808,1389
.879,1389
.951,1389
1.022,1389
1.094,1389
1.167,1389
1.240,1389
1.314,1389
1.385,1389
1.461,1235
1.534,1235
1.608,1235
1.684,1235
1.762,1389
1.832,1389
1.906,1389
1.978,1389
2.053,1389
2.126,1389
2.199,1389
2.274,1235
2.347,1389
2.420,1389
2.499,1389
2.572,1389
2.644,1389
2.720,1389
2.793,1389
2.865,1389
2.938,1389
3.010,1389
3.082,1389
3.155,1389
3.233,1389
3.304,1389
3.380,1389
3.450,1389
3.524,1389
3.597,1389
3.670,1389
3.748,1389
3.822,1389
3.897,1389
3.972,1389
4.047,1389
4.123,1235
4.194,1389
4.265,1235
4.341,1235
4.413,1081
4.488,1081
4.570,1081
4.653,926
4.725,926
4.825,926
4.904,772
4.979,772
5.052,772
5.130,772
5.201,772
5.281,772
5.348,772
5.424,772
5.497,617
5.569,617
5.640,617
5.716,617
5.787,617
5.861,617
5.931,617
6.007,617
6.080,617
6.156,926
6.232,1235
6.304,1081
6.377,926
6.448,1543
6.523,3084
6.596,4929
6.667,6923
6.739,8297
6.811,9369
6.889,10589
6.957,11505
7.029,12267
7.103,12722
7.174,13483
7.247,13783
7.321,14089
7.391,14543
7.466,14696
7.542,14849
7.609,15302
7.680,15608
7.751,15761
7.823,15761
7.896,15914
7.968,16060
8.043,16060
8.112,16366
8.183,16366
8.255,16512
8.330,16519
8.401,16519
8.474,16366
8.546,16519
8.623,16519
8.691,16366
8.763,16519
8.841,16366
8.915,16366
8.986,16366
9.061,16366
9.131,16067
9.203,13641
9.276,11659
9.351,9984
9.428,8608
9.508,7385
