timestamp,total_power
.066,11884
.134,11578
1.063,11923
1.128,12385
1.195,13080
1.255,13887
1.327,14041
1.389,14041
1.450,13693
1.520,13080
1.583,12732
1.646,12580
1.708,12579
1.770,12425
1.837,12230
2.090,12384
2.151,12692
2.212,13001
2.277,12846
2.349,12692
2.414,12692
2.475,12846
2.539,13001
2.602,13153
2.664,13152
2.727,13307
2.786,13306
2.846,12846
3.065,12385
3.127,12078
3.189,12078
3.256,12232
3.321,12385
3.386,13000
3.454,13000
3.513,13154
3.573,13154
3.638,13539
3.700,13539
3.764,13347
3.826,13387
3.890,13040
4.069,13040
4.132,13194
4.198,13308
4.260,13308
4.324,13000
4.385,13000
4.453,12846
4.519,12846
4.586,13000
4.654,13154
4.717,13154
4.791,13309
4.851,13309
5.064,12846
5.126,12693
5.191,12385
5.255,12539
5.322,12692
5.389,12846
5.451,13000
5.517,13155
5.585,13001
5.649,13001
5.713,12539
5.775,12192
5.837,11885
6.067,11576
6.128,11884
6.195,12037
6.258,12192
6.330,12498
6.413,12806
6.480,12692
6.544,12539
6.611,12192
6.675,12037
6.738,12038
6.804,12190
6.866,12038
6.928,11884
7.065,12192
7.133,12192
7.197,12385
7.266,12425
7.334,13081
7.402,13274
7.469,13234
7.535,13888
7.602,15540
7.666,18255
7.728,20930
7.791,22683
7.858,22986
