names;Die_area;TDP;GFLOPS;price;Tech_node;Memory;date
AMD-MI50;331;300;13410;255;7;16;2018
NVIDIA-A100;826;400;19490;11941;7;40;2020
NVIDIA-A40;628;300;37420;6702;8;48;2020
NVIDIA-A5000;628;230;27770;2491;8;24;2021
NVIDIA-AGX-Xavier;350;30;1410;1299;12;32;2018
NVIDIA-GTX-1080Ti;471;250;11340;699;16;11;2017
NVIDIA-L40;609;300;90520;10500;5;48;2022
NVIDIA-Quadro-P6000;471;250;12630;5999;16;24;2016
NVIDIA-Quadro-RTX-6000;754;260;16310;6299;12;24;2018
NVIDIA-Quadro-RTX-8000;754;260;16310;9999;12;48;2018
NVIDIA-RTX-2080Ti;754;250;13450;999;12;11;2018
NVIDIA-Tesla-H100;814;700;62080;33396;5;80;2023
NVIDIA-L40S;609;300;91610;10500;5;48;2022
NVIDIA-Tesla-M2075;520;225;1028;2399;40;6;2011
NVIDIA-Tesla-P100;610;250;9526;5699;16;16;2016
NVIDIA-Tesla-T4;545;70;8141;2356;12;16;2018
NVIDIA-Tesla-V100;815;250;14130;10334;12;32;2018
